Any,NombrePenats,PercentatgePenats,NombrePreventius,PercentatgePreventius,Total
2016,7302,85.2,1264,14.8,8566
2015,7604,86.3,1206,13.7,8810
2014,7967,85.7,1327,14.3,9294
2013,8289,84.4,1529,15.6,9818
2012,8293,82.4,1769,17.6,10062
2011,8562,81.4,1951,18.6,10513
2010,8563,81.4,1957,18.6,10520
2009,8315,79,2210,21,10525
2008,7737,77.4,2259,22.6,9996
2007,7209,77.2,2134,22.8,9343
2006,7009,78.5,1922,21.5,8931
2005,6655,80.4,1625,19.6,8280
2004,6458,79.8,1608,20.2,8094
2003,6042,81.7,1352,18.3,7394
2002,5484,79.5,1415,20.5,6899
2001,5134,80.2,1255,19.8,6405
2000,4961,81.7,1090,18.3,6073
1999,4803,81.1,1121,18.9,5924
1998,4656,78.5,1278,21.5,5934
1997,4745,80.2,1170,19.8,5915
1996,4776,79.7,1212,20.3,5988
1995,4998,78.8,1346,21.2,6344
1994,5120,76.8,1542,23.2,6662